Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
99,426,609,342,640,531,640,342,792,531,792,325,822,531,792,394,914,480,914,394,1188,497,1036,394,1188,480,1158,792,1
100,426,579,342,640,531,640,325,761,548,761,308,792,548,792,394,914,480,914,411,1005,497,1036,394,1188,480,1188,792,1
101,396,548,342,609,531,579,325,700,548,700,274,731,582,731,394,853,480,883,394,1036,480,1036,394,1188,480,1188,731,1
102,365,518,342,548,514,548,325,640,565,640,240,670,617,640,394,822,480,822,394,1005,480,1005,394,1188,497,1188,700,1
103,335,487,360,518,514,518,308,609,565,609,222,609,617,579,394,822,480,822,394,975,480,975,394,1158,497,1127,670,1
104,304,487,342,487,514,487,308,609,565,609,257,548,617,548,394,761,480,792,394,975,480,975,394,1127,497,1127,640,0
105,274,457,342,487,531,487,325,579,548,579,291,548,582,579,480,731,394,761,480,944,394,944,497,1097,411,1097,609,0
106,243,426,342,457,514,457,325,548,548,609,325,579,565,609,394,731,480,731,394,944,480,914,462,1097,480,1066,609,0
107,243,426,342,457,531,457,342,609,531,609,342,640,531,640,394,731,480,731,394,944,480,914,428,1066,462,1066,609,0
108,243,426,342,457,531,457,342,579,531,609,325,670,531,640,394,761,480,761,394,975,480,944,445,1066,497,1036,609,0
109,243,426,342,457,531,457,342,579,531,579,308,640,548,640,394,731,480,731,394,944,480,914,428,1066,514,1036,609,0
110,243,426,342,457,531,457,325,579,531,579,291,640,582,640,394,731,480,731,394,944,480,914,428,1066,480,1066,609,0
111,243,426,342,457,514,457,308,579,548,579,240,640,600,609,394,731,497,700,394,944,480,914,411,1066,480,1066,609,0
112,274,457,342,487,514,457,308,579,565,579,222,609,634,609,394,761,480,761,394,914,480,914,411,1097,497,1066,609,0
113,304,487,342,518,514,487,291,609,582,579,205,609,651,579,394,822,480,792,394,944,480,914,411,1097,497,1097,670,1
114,335,518,342,518,514,518,291,609,565,609,222,609,634,579,394,853,480,822,394,914,480,914,394,1127,497,1127,670,1
115,365,548,342,579,514,548,325,670,548,640,257,609,600,609,394,853,480,853,394,883,480,883,394,1158,497,1127,700,1
116,396,579,360,609,514,579,342,700,531,700,291,670,565,670,394,822,480,822,394,944,497,975,394,1158,514,1158,731,1
117,426,579,360,640,514,609,342,700,548,670,342,731,531,731,411,883,480,883,394,944,497,1005,394,1158,497,1158,761,1
118,426,609,342,640,531,640,342,731,531,761,342,792,531,761,411,914,480,883,394,1036,497,1036,394,1158,497,1158,761,1
119,426,609,342,640,531,640,342,761,531,761,325,822,548,761,411,914,480,914,411,1097,497,1036,394,1188,497,1158,792,1
120,396,579,360,609,531,609,342,700,548,700,308,761,565,731,411,883,480,883,411,1127,514,1005,411,1158,497,1158,761,1
121,365,548,360,579,514,579,325,670,548,670,274,700,600,670,411,853,480,853,411,1036,514,1005,394,1158,497,1158,731,1
122,335,518,360,548,514,548,308,640,565,640,257,640,617,609,411,822,480,822,394,975,497,1005,394,1158,497,1158,670,1
123,335,487,360,518,514,518,308,609,565,609,257,579,617,548,411,792,497,792,394,1066,497,1005,394,1127,480,1127,670,1
124,304,487,360,487,514,487,325,609,565,579,291,548,600,548,480,761,411,792,497,975,411,975,480,1127,411,1127,640,0
125,274,457,360,487,514,457,342,579,565,579,308,579,582,579,411,761,497,761,497,944,411,914,462,1127,394,1066,609,0
126,274,457,342,457,531,457,342,579,548,579,342,609,565,609,411,731,497,731,411,914,480,944,394,1066,462,1066,609,0
127,274,426,360,457,531,457,342,579,531,609,342,640,531,609,411,731,497,731,411,883,480,883,394,1066,462,1036,609,0
128,274,426,360,457,531,457,342,579,531,609,342,670,548,640,411,731,497,731,394,914,497,914,394,1066,462,1066,609,0
129,274,426,360,457,531,457,342,579,531,579,325,670,565,640,411,731,497,731,394,914,497,914,411,1066,480,1066,609,0
130,274,457,360,457,531,457,342,579,548,579,291,640,582,640,411,731,497,731,394,914,497,914,411,1066,480,1066,609,0
131,304,457,360,487,531,487,325,579,565,579,257,640,617,609,411,731,497,731,394,944,497,944,411,1066,480,1066,609,0
132,304,487,360,487,531,487,308,609,582,609,240,609,651,609,411,761,497,761,394,944,497,975,411,1097,497,1097,640,0
133,335,518,377,518,531,518,308,609,582,609,240,609,651,609,411,792,497,792,394,975,497,975,411,1097,497,1127,670,1
134,365,548,377,548,531,548,325,640,565,640,257,609,617,609,411,792,497,822,394,975,497,975,411,1127,497,1127,700,1
135,396,579,377,579,548,579,342,670,548,700,291,640,582,670,411,822,497,853,394,1005,497,1005,411,1127,497,1127,731,1
136,426,609,394,609,548,640,360,700,514,731,342,700,548,731,411,883,480,883,394,1005,497,1005,411,1127,497,1127,761,1
137,457,609,377,640,531,640,360,731,548,761,360,761,548,761,411,883,497,914,411,1097,514,1097,411,1158,531,1219,792,1
138,426,609,377,640,548,640,360,761,548,761,342,792,548,792,411,883,480,883,411,1005,497,1097,411,1158,514,1127,761,1
139,426,579,377,609,548,609,360,700,548,731,325,761,565,761,411,853,497,853,411,1005,514,1005,411,1127,497,1127,731,1
140,396,548,377,579,531,579,342,670,565,670,291,700,600,700,411,822,497,822,411,944,514,975,411,1127,514,1127,700,1
141,365,548,377,548,531,548,342,640,582,640,257,640,634,609,411,822,497,822,411,975,514,975,411,1127,514,1127,670,1
142,335,518,377,518,531,518,325,609,582,609,274,579,634,579,428,792,497,792,411,944,514,944,411,1097,514,1097,670,1
143,304,487,377,518,531,487,,,342,609,291,579,617,548,497,761,411,761,497,914,411,944,497,1097,428,1097,640,0
144,304,457,377,487,531,457,360,579,565,579,325,579,600,579,428,731,497,731,411,914,497,914,497,1066,497,1066,609,0
145,274,457,377,487,548,457,360,548,565,609,360,609,531,700,428,731,497,731,428,914,497,914,428,1066,497,1066,609,0
146,274,457,360,487,548,457,377,609,548,609,377,640,565,640,428,731,497,731,428,914,497,914,428,1036,514,1036,609,0
147,274,426,377,457,548,457,377,609,548,609,360,670,548,640,428,731,497,731,428,914,497,914,445,1036,497,1036,609,0
148,274,457,377,457,548,457,360,579,548,579,342,640,582,640,428,731,514,731,428,914,514,914,428,1036,497,1036,609,0
149,274,457,377,487,548,457,360,579,565,579,308,640,600,609,428,761,514,761,428,914,514,914,428,1036,514,1036,609,0
150,304,457,377,487,548,487,342,579,582,579,274,640,634,579,411,731,514,731,514,914,428,914,514,1066,428,1066,609,0
151,304,487,377,518,548,487,342,579,582,579,257,609,668,579,411,761,514,761,514,944,428,944,514,1066,428,1066,640,0
152,335,518,394,518,548,518,342,609,600,609,257,609,668,579,428,792,514,792,428,944,514,914,428,1097,531,1097,670,1
153,365,548,394,548,548,548,342,640,582,640,291,609,634,609,428,822,514,792,428,975,514,944,445,1127,531,1097,700,1
154,396,579,394,579,548,579,360,670,565,670,325,640,600,640,445,822,514,822,428,975,514,975,428,1127,531,1127,700,1
155,426,579,394,609,548,609,360,670,565,700,360,700,565,700,445,853,514,853,428,975,531,975,428,1127,531,1127,731,1
