Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
115,700,883,394,883,565,883,377,1036,600,1005,342,1097,651,1066,445,1127,531,1127,428,1310,565,1249,480,1432,531,1432,1005,1
116,670,853,394,853,565,853,360,975,600,975,308,1036,668,1036,445,1127,531,1097,445,1310,565,1219,462,1401,531,1401,975,1
117,640,822,394,822,565,822,325,944,634,944,274,1005,685,975,445,1066,531,1066,445,1249,548,1249,462,1401,548,1401,944,1
118,609,792,394,792,548,761,325,914,634,883,240,914,720,914,428,1036,531,1036,445,1219,548,1249,462,1371,548,1401,914,1
119,609,761,394,792,548,731,325,883,634,883,240,883,737,853,445,1005,531,1005,462,1219,531,1219,462,1401,548,1371,883,1
120,579,761,394,761,548,731,325,853,634,853,257,883,720,822,428,1005,514,975,445,1158,531,1188,462,1340,548,1340,883,1
121,579,761,394,761,548,731,308,853,634,822,257,914,702,822,445,1005,514,975,445,1066,531,1188,462,1310,531,1340,883,1
122,579,731,377,761,565,731,308,883,634,822,291,914,685,883,445,1005,531,975,445,1097,531,1158,462,1310,531,1310,853,0
123,579,761,377,761,565,731,325,883,634,853,291,944,668,914,445,1005,531,975,445,1127,531,1127,462,1310,531,1340,853,0
124,579,731,377,761,565,731,342,883,600,853,291,975,651,914,445,1005,514,975,445,1127,531,1158,462,1310,531,1340,853,0
125,579,731,377,761,565,731,342,883,600,853,274,944,668,914,445,1005,514,975,445,1158,531,1158,462,1310,531,1371,853,0
126,579,761,377,761,565,761,325,883,600,853,257,914,668,883,445,1005,514,1005,445,1188,531,1188,462,1340,531,1371,853,0
127,609,792,394,792,531,731,325,883,617,853,257,883,720,853,445,1036,514,1005,445,1188,531,1188,462,1371,548,1371,853,0
128,640,792,548,761,394,792,617,883,325,914,702,883,274,914,514,1036,445,1066,531,1219,445,1219,548,1401,462,1371,853,0
129,670,822,565,822,394,853,634,914,325,944,668,914,308,975,514,1066,445,1097,531,1219,445,1219,548,1401,462,1371,853,0
130,700,853,394,883,565,853,308,1005,617,944,308,1036,651,975,445,1127,531,1097,445,1249,531,1249,480,1432,531,1432,853,0
131,731,914,377,914,565,883,342,1036,617,1005,325,1097,651,1066,445,1158,531,1127,445,1310,548,1249,480,1432,531,1432,1036,1
132,761,914,394,944,565,914,360,1066,617,1066,325,1127,634,1127,428,1158,531,1158,445,1340,548,1280,480,1462,531,1432,1036,1
133,761,914,394,944,565,914,360,1066,600,1097,325,1158,634,1158,445,1158,531,1158,428,1340,565,1340,497,1462,531,1462,1066,1
134,731,914,394,914,565,914,342,1066,617,1066,291,1127,651,1127,428,1158,531,1158,428,1310,565,1310,480,1462,531,1462,1036,1
135,700,883,377,883,565,883,325,1036,617,1005,274,1066,668,1066,445,1158,531,1127,445,1340,565,1280,480,1432,531,1432,1005,1
136,670,822,377,853,565,822,325,975,617,944,257,1005,702,1005,445,1127,531,1097,445,1340,548,1249,462,1432,531,1432,975,1
137,640,792,377,822,565,792,325,914,634,914,240,944,702,914,445,1066,531,1066,445,1280,548,1249,462,1432,548,1401,944,1
138,609,761,377,792,531,731,325,883,617,853,257,883,720,853,445,1036,531,1036,445,1219,548,1219,462,1401,548,1401,914,1
139,579,761,394,761,548,731,325,853,617,822,274,853,720,822,428,1005,514,1005,445,1219,531,1219,480,1401,548,1401,883,1
140,548,731,394,731,548,731,325,822,634,822,291,822,702,792,428,1005,514,975,445,1158,531,1188,480,1340,548,1340,853,0
141,548,700,377,731,531,700,325,853,617,792,308,853,685,822,428,975,514,975,445,1127,531,1188,480,1310,548,1310,853,0
142,548,700,377,731,531,670,325,853,634,822,291,914,668,853,428,975,514,944,445,1127,548,1188,480,1310,548,1310,853,0
143,548,700,377,731,548,700,325,853,617,822,308,914,668,883,428,944,514,944,445,1127,531,1127,480,1280,548,1310,822,0
144,548,700,377,731,548,700,325,853,617,822,291,944,651,914,428,975,531,944,445,1127,548,1127,462,1280,548,1310,853,0
145,548,700,377,731,548,700,325,883,600,853,291,914,668,914,428,975,531,944,445,1127,548,1127,462,1280,548,1340,853,0
146,579,731,377,731,548,700,342,853,600,853,274,883,685,883,428,975,531,975,445,1127,548,1127,462,1310,548,1340,853,0
147,579,731,377,761,548,731,325,853,617,853,257,883,685,853,445,1005,531,975,462,1158,548,1158,462,1340,548,1371,853,0
148,609,761,394,761,531,731,325,853,617,853,274,883,685,822,445,1036,531,1005,445,1188,548,1219,462,1340,548,1371,883,1
149,640,792,394,822,531,761,325,883,617,883,291,914,668,822,445,1036,531,1036,462,1219,548,1188,462,1371,548,1371,914,1
150,670,822,394,822,548,822,325,944,617,883,308,975,651,883,445,1066,514,1036,462,1219,548,1188,462,1401,548,1401,944,1
151,700,853,394,883,565,853,342,944,600,944,325,1036,634,944,445,1097,531,1097,462,1280,548,1249,462,1432,531,1432,975,1
152,731,883,394,914,565,883,360,1036,582,1005,325,1097,617,1005,445,1158,531,1127,462,1310,565,1249,480,1432,531,1432,1036,1
153,761,914,394,944,565,914,360,1097,600,1036,325,1158,634,1066,445,1188,548,1158,445,1340,565,1310,480,1432,531,1462,1036,1
154,731,914,394,944,565,914,360,1097,600,1066,325,1127,651,1127,445,1158,548,1158,445,1310,582,1310,480,1432,531,1462,1036,1
155,731,883,394,914,565,883,360,1036,600,1036,308,1127,651,1097,445,1158,548,1158,462,1249,582,1280,480,1432,531,1432,1036,1
156,700,853,394,883,394,883,360,944,342,1005,274,975,291,1066,445,1127,548,1097,548,1249,548,1249,531,1432,531,1432,1005,1
157,670,853,394,853,565,822,342,944,617,944,257,975,685,1005,445,1097,531,1066,445,1249,531,1249,462,1401,548,1432,944,1
158,640,792,394,822,565,792,325,914,634,914,240,914,702,944,445,1036,531,1036,462,1219,531,1219,480,1401,548,1401,914,1
159,609,761,548,761,377,792,634,853,342,883,257,883,257,883,531,975,445,1005,548,1188,462,1188,548,1371,462,1340,883,1
160,609,761,394,792,565,761,342,853,634,853,274,853,720,822,445,1005,531,975,462,1158,548,1158,462,1340,531,1340,853,0
161,579,761,565,761,377,761,651,822,342,853,702,792,325,883,531,944,428,975,531,1127,462,1127,531,1310,462,1310,853,0
162,579,761,377,761,548,731,325,883,634,822,342,914,685,853,445,975,531,975,462,1127,548,1127,480,1280,514,1310,853,0
163,579,761,377,761,565,731,342,914,634,853,342,944,685,883,445,1005,531,975,462,1127,531,1127,480,1280,531,1280,853,0
164,579,761,394,761,565,731,360,883,617,853,325,975,668,914,445,975,531,975,462,1127,531,1127,480,1280,531,1280,853,0
165,579,761,394,761,565,731,360,883,617,883,325,944,651,914,445,975,531,975,462,1158,531,1127,497,1310,531,1280,853,0
166,579,761,394,761,565,761,360,883,600,853,291,944,668,914,445,975,531,975,462,1158,531,1127,497,1310,531,1310,853,0
167,609,761,394,792,565,761,342,883,600,853,274,914,685,944,462,1005,531,1005,462,1158,531,1127,497,1340,531,1340,853,0
168,609,792,394,792,582,792,342,883,634,883,257,914,600,853,445,1036,531,1005,462,1188,531,1158,497,1371,548,1340,914,1
169,640,822,411,822,565,792,342,883,634,883,257,914,720,883,462,1066,531,1066,462,1219,531,1219,497,1371,548,1371,944,1
170,670,853,428,853,565,822,360,883,651,914,274,944,702,883,445,1097,531,1066,462,1249,548,1249,497,1401,548,1401,944,1
171,700,853,428,883,565,853,360,944,634,944,325,975,685,944,462,1127,531,1097,462,1280,548,1280,480,1401,548,1432,1005,1
172,731,914,428,914,582,914,325,1036,634,1005,342,1036,668,1005,462,1158,531,1158,480,1340,548,1310,497,1432,548,1432,1036,1
173,731,914,428,914,582,914,360,1036,617,1036,360,1066,651,1066,462,1188,548,1158,480,1310,565,1340,497,1432,548,1432,1066,1
174,731,914,582,914,428,914,617,1066,377,1066,634,1097,377,1097,548,1188,462,1188,565,1310,462,1310,548,1432,497,1432,1036,1
175,731,883,411,914,582,883,394,1036,617,1066,360,1097,651,1097,480,1158,548,1158,462,1310,565,1310,497,1432,531,1432,1036,1
176,700,853,411,853,582,853,377,1005,617,1005,325,1066,668,1066,480,1127,548,1127,462,1188,582,1219,497,1401,548,1432,1005,1
177,640,822,411,853,582,822,360,944,634,975,291,1005,685,1005,462,1097,548,1097,462,1188,565,1188,480,1401,565,1401,975,1
178,640,792,411,792,582,792,360,914,634,914,274,914,720,944,462,1036,548,1036,462,1188,565,1188,497,1371,548,1371,914,1
