Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
63,457,609,377,670,565,670,325,822,617,792,257,853,668,883,428,914,514,914,445,1097,531,1097,462,1280,548,1280,792,0
64,426,609,377,670,548,640,308,792,617,761,240,822,685,853,445,914,514,914,445,1097,531,1066,462,1280,548,1249,792,0
65,426,609,394,640,565,640,308,761,634,761,222,792,720,822,445,914,514,914,445,1097,531,1097,462,1249,548,1249,792,0
66,426,609,394,640,565,640,308,761,651,761,222,792,737,792,428,914,514,914,445,1097,548,1127,462,1249,548,1249,792,0
67,426,609,377,670,565,640,308,761,651,761,222,792,737,761,428,914,514,914,445,1066,548,1097,462,1249,548,1249,792,0
68,457,609,394,670,548,640,308,761,634,761,222,761,737,761,445,914,531,914,445,1097,531,1005,462,1249,548,1280,792,0
69,457,640,394,670,548,670,308,792,634,761,240,792,737,761,428,944,531,914,445,1097,548,1097,462,1280,548,1280,792,0
70,487,670,394,700,548,670,325,822,634,792,257,792,720,761,445,944,531,944,445,1127,531,1066,462,1280,548,1280,822,0
71,518,700,394,731,548,700,325,853,634,822,274,822,702,792,445,975,514,975,445,1127,565,1066,462,1310,548,1310,853,0
72,548,731,394,761,548,731,325,883,617,853,291,883,668,822,445,1005,514,975,445,1158,565,1097,462,1340,531,1340,883,1
73,579,761,394,822,548,792,325,914,617,883,308,914,668,853,445,1036,531,1005,445,1188,565,1158,462,1340,531,1340,914,1
74,609,792,377,822,565,822,342,975,617,914,325,975,651,914,462,1127,531,1127,462,1158,548,1158,480,1340,531,1371,975,1
75,640,792,394,853,565,822,308,1005,617,944,325,1005,634,975,445,1127,531,1127,445,1158,548,1127,480,1340,531,1340,975,1
76,609,792,377,853,565,822,325,1005,600,944,325,1036,617,1005,462,1158,531,1158,462,1127,531,1310,480,1340,531,1340,1005,1
77,609,792,377,822,565,792,342,1005,617,944,325,1036,634,1005,462,1127,531,1097,445,1249,531,1340,480,1340,531,1340,975,1
78,579,731,377,792,565,761,342,975,617,944,325,1036,634,1005,445,1066,531,1066,445,1158,565,1158,480,1340,531,1340,914,1
79,518,700,377,761,565,731,342,914,617,914,325,1005,651,975,445,1005,531,1005,445,1158,565,1127,462,1340,531,1340,883,1
80,487,670,377,731,565,700,342,883,617,853,325,944,651,944,445,975,531,975,445,1066,531,1066,462,1280,548,1310,853,0
81,457,640,377,700,565,700,342,853,617,822,308,914,668,914,428,944,514,944,445,1127,548,1158,462,1280,548,1310,822,0
82,457,609,377,670,565,670,342,822,617,792,274,883,685,883,428,914,514,914,445,1127,548,1097,445,1280,548,1280,792,0
83,426,609,377,670,548,640,308,822,617,761,257,853,702,853,428,914,514,914,445,1127,531,1097,445,1310,548,1280,792,0
84,426,579,377,640,565,640,325,792,634,761,240,822,720,822,428,914,514,914,445,1097,531,1097,462,1249,548,1280,792,0
85,426,579,394,640,565,640,308,761,651,761,222,792,737,792,428,914,514,914,445,1097,531,1097,462,1249,548,1280,792,0
86,426,579,394,640,565,640,308,761,651,731,222,792,754,761,445,914,514,914,445,1097,531,1097,462,1249,548,1280,792,0
87,426,609,394,640,565,640,308,761,668,761,222,761,754,731,428,914,514,914,445,1127,531,1127,462,1280,531,1280,792,0
88,457,609,394,670,565,670,308,761,651,761,222,731,754,731,428,944,514,944,445,1127,531,1127,462,1280,531,1310,792,0
89,487,640,394,670,565,670,308,792,651,761,240,731,737,731,428,944,514,944,445,1158,531,1158,462,1310,531,1310,822,0
90,487,670,394,731,565,700,325,822,651,792,274,761,737,731,428,975,531,975,445,1158,531,1127,462,1310,531,1310,853,0
91,518,700,394,761,565,731,325,853,651,822,291,792,720,792,445,1005,531,1005,445,1188,531,1158,462,1340,531,1340,883,1
92,579,731,394,792,565,761,325,853,651,853,291,822,702,822,428,1036,531,1036,445,1188,548,1127,480,1340,531,1371,914,1
93,609,792,394,822,565,792,308,914,634,883,308,883,685,853,445,1036,531,1036,445,1158,548,1158,480,1340,531,1340,914,1
94,640,792,394,822,565,822,325,914,634,914,342,944,668,914,445,1066,514,1036,445,1188,548,1188,480,1371,531,1371,944,1
95,640,792,394,822,565,822,325,975,617,914,342,1005,651,975,445,1097,514,1097,445,1219,548,1188,480,1371,531,1371,975,1
96,609,792,394,822,565,822,325,1005,617,944,342,1036,651,1036,445,1097,531,1097,445,1219,548,1188,480,1371,531,1371,975,1
97,609,761,394,822,565,822,360,1005,617,975,342,1036,634,1036,445,1097,531,1097,445,1219,548,1158,480,1371,531,1371,944,1
98,579,761,394,792,565,792,360,944,617,975,342,1036,634,1036,445,1066,531,1066,445,1188,548,1188,480,1340,531,1371,944,1
99,579,731,394,792,565,792,342,914,600,975,325,1036,634,1036,445,1066,531,1066,445,1188,531,1127,480,1340,531,1340,914,1
100,579,731,394,761,582,792,325,914,600,944,325,1005,634,1005,445,1066,514,1066,445,1097,531,1097,480,1340,531,1340,914,1
