Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
243,426,411,487,634,487,342,640,720,609,240,640,822,609,480,853,582,822,462,1036,582,1066,462,1249,582,1249,670,1
213,396,411,457,634,457,360,609,720,579,222,579,805,548,480,853,582,822,462,1097,600,1097,462,1280,617,1249,640,1
182,365,411,457,634,426,342,579,720,579,240,548,805,518,480,792,582,792,462,1036,600,1066,462,1219,600,1219,609,1
182,365,411,426,634,426,342,579,720,548,240,518,788,518,462,792,582,792,462,1066,600,1097,462,1219,582,1188,609,1
182,365,411,426,634,426,360,579,702,548,257,518,788,518,480,822,582,792,462,1127,600,1066,480,1219,582,1219,609,1
182,365,411,426,634,426,360,579,702,548,274,518,771,518,462,792,582,792,462,1097,600,1036,480,1219,600,1219,609,1
182,365,411,426,634,426,360,579,685,579,291,518,754,548,480,792,582,792,480,1036,600,1036,462,1219,600,1219,609,1
182,396,411,457,634,457,377,609,668,579,308,548,737,548,480,853,582,822,480,1066,600,1127,480,1249,600,1219,640,1
213,426,411,487,634,457,394,640,668,609,342,579,737,609,480,853,582,853,462,1188,600,1158,462,1280,600,1249,670,1
243,457,411,518,634,518,394,670,651,640,360,640,720,640,480,853,600,853,480,1188,600,1188,497,1249,600,1249,670,1
274,487,411,548,634,518,411,700,685,670,360,700,702,670,480,883,582,883,462,1127,582,914,480,1249,617,1249,700,0
304,518,411,579,651,579,377,731,702,731,377,761,737,731,480,914,600,914,480,1249,600,944,480,1249,600,1280,761,0
335,548,411,609,651,609,394,761,702,761,377,792,720,792,480,1005,582,975,480,1249,600,1036,497,1249,582,1280,792,0
365,548,411,640,651,609,394,792,702,792,360,853,702,822,480,975,582,975,497,1249,600,1097,497,1249,582,1280,792,0
365,548,411,609,651,609,394,761,685,761,342,853,720,792,480,944,582,944,497,1127,600,1127,514,1249,582,1280,792,0
335,518,411,579,634,579,394,731,685,731,325,792,737,761,480,914,582,914,480,1066,617,1097,514,1280,582,1280,761,0
304,487,411,548,634,548,377,700,685,700,291,761,754,700,480,914,582,883,480,1097,617,1066,514,1280,600,1280,731,0
