Feature1,Feature2,Pearson_Corr,Pearson_p-value,Spearman_Corr,Spearman_p-value,Kendall_Corr,Kendall_p-value
Neck,RKnee_X,0.6740877510500398,0.0,0.7574894638951877,0.0,0.5437625802023031,0.0
Neck,RKnee_Y,0.5641570942086549,3.0749316580581574e-244,0.6609164828249069,0.0,0.5496923699368933,0.0
Neck,LKnee_X,0.20909025033747497,4.150488123857118e-30,0.1366300011894557,1.341539276088389e-13,0.09767162864782258,1.6638482120293893e-14
Neck,LKnee_Y,0.5989110541386442,7.327970487593857e-283,0.6862121486642873,0.0,0.5734018644671754,0.0
Neck,RAnkle_X,0.6779194157387964,0.0,0.7584099071221075,0.0,0.5592119570694177,0.0
Neck,RAnkle_Y,0.5293568384554772,6.540649677361615e-210,0.64937648108355,0.0,0.4902038294275093,0.0
Neck,LAnkle_X,0.17985722011862815,1.4000157760216105e-22,0.07051533689615833,0.00014065485356431272,0.05463272226262581,1.781412255038836e-05
Neck,LAnkle_Y,0.43389172361435935,6.648853006158227e-134,0.5706199698397701,4.4966571681562765e-251,0.4287220715314751,1.7943944784730402e-245
Neck,Chest,0.9712814964177845,0.0,0.9610569762058865,0.0,0.8610737784255041,0.0
RShoulder_X,RShoulder_Y,0.6887707275726112,0.0,0.7579854229716876,0.0,0.5411320714893715,0.0
RShoulder_X,LShoulder_X,0.573287603886159,6.124963705764378e-254,0.44595802339096124,3.145004234332493e-142,0.18215126310729646,2.7532655039445646e-46
RShoulder_X,LShoulder_Y,0.711952023606075,0.0,0.7849615268288144,0.0,0.5698345281592487,0.0
RShoulder_X,RElbow_X,0.9746164739378028,0.0,0.9682773567505405,0.0,0.8639103198370253,0.0
RShoulder_X,RElbow_Y,0.6178152840908754,6.124570062300061e-306,0.651502178829521,0.0,0.4693973696792065,1.3793286393540928e-297
RShoulder_X,LElbow_X,0.7536110399032276,0.0,0.5346090576126392,7.757134647870007e-215,0.27883044798074325,1.2753926207772428e-106
RShoulder_X,LElbow_Y,0.6584611517412103,0.0,0.7102301334185189,0.0,0.5156099457891877,0.0
RShoulder_X,RWrist_X,0.9362594354005495,0.0,0.9108483423523351,0.0,0.7474518816930763,0.0
RShoulder_X,RWrist_Y,0.5603982216114405,2.4777050498704244e-240,0.5877326541300165,6.325926288563376e-270,0.4159935538761719,1.3169549746624912e-234
RShoulder_X,LWrist_X,0.7934837047755243,0.0,0.6009643010953006,2.7101597761591843e-285,0.3581502614338442,4.110019460147612e-176
